Date,Total
14/10/2015,352
15/10/2015,353
16/10/2015,353
17/10/2015,354
18/10/2015,355
19/10/2015,356
20/10/2015,356
21/10/2015,358
22/10/2015,359
23/10/2015,359
24/10/2015,359
25/10/2015,360
26/10/2015,360
27/10/2015,360
28/10/2015,361
29/10/2015,366
30/10/2015,371
31/10/2015,372
01/11/2015,372
02/11/2015,374
03/11/2015,376
04/11/2015,379
05/11/2015,383
06/11/2015,385
07/11/2015,387
08/11/2015,391
09/11/2015,394
10/11/2015,395
11/11/2015,398
12/11/2015,402
13/11/2015,404
14/11/2015,404
15/11/2015,404
16/11/2015,405
17/11/2015,406
18/11/2015,407
19/11/2015,408
20/11/2015,412
21/11/2015,414
22/11/2015,415
23/11/2015,417
24/11/2015,422
25/11/2015,424
26/11/2015,424
27/11/2015,424
28/11/2015,425
29/11/2015,427
30/11/2015,427
01/12/2015,429
02/12/2015,438
03/12/2015,444
04/12/2015,448
05/12/2015,449
06/12/2015,449
07/12/2015,453
08/12/2015,456
09/12/2015,459
10/12/2015,461
11/12/2015,462
12/12/2015,462
13/12/2015,462
14/12/2015,464
15/12/2015,465
16/12/2015,466
17/12/2015,471
18/12/2015,472
19/12/2015,473
20/12/2015,474
21/12/2015,474
22/12/2015,475
23/12/2015,476
24/12/2015,476
25/12/2015,476
26/12/2015,476
27/12/2015,476
28/12/2015,476
29/12/2015,476
30/12/2015,476
31/12/2015,476
01/01/2016,476
02/01/2016,476
03/01/2016,476
04/01/2016,476
05/01/2016,476
06/01/2016,477
07/01/2016,477
08/01/2016,478
09/01/2016,478
10/01/2016,478
11/01/2016,479
12/01/2016,480
13/01/2016,480
14/01/2016,481
15/01/2016,485
16/01/2016,485
17/01/2016,485
18/01/2016,486
19/01/2016,487
20/01/2016,488
21/01/2016,489
22/01/2016,489
23/01/2016,490
24/01/2016,490
25/01/2016,492
26/01/2016,493
27/01/2016,494
28/01/2016,496
29/01/2016,498
30/01/2016,499
31/01/2016,499
01/02/2016,500
02/02/2016,500
03/02/2016,500
04/02/2016,502
05/02/2016,505
06/02/2016,505
07/02/2016,507
08/02/2016,509
09/02/2016,512
10/02/2016,516
11/02/2016,516
12/02/2016,517
13/02/2016,519
14/02/2016,519
15/02/2016,523
16/02/2016,525
17/02/2016,525
18/02/2016,526
19/02/2016,527
20/02/2016,527
21/02/2016,527
22/02/2016,528
23/02/2016,536
24/02/2016,543
25/02/2016,545
26/02/2016,549
27/02/2016,550
28/02/2016,551
29/02/2016,554
01/03/2016,560
02/03/2016,562
03/03/2016,568
04/03/2016,571
05/03/2016,572
06/03/2016,574
07/03/2016,577
08/03/2016,578
09/03/2016,580
10/03/2016,586
11/03/2016,590
12/03/2016,591
13/03/2016,591
14/03/2016,593
15/03/2016,595
16/03/2016,597
17/03/2016,600
18/03/2016,607
19/03/2016,607
20/03/2016,607
21/03/2016,610
22/03/2016,612
23/03/2016,615
24/03/2016,618
25/03/2016,618
26/03/2016,618
27/03/2016,619
28/03/2016,619
29/03/2016,621
30/03/2016,624
31/03/2016,625
01/04/2016,626
02/04/2016,628
03/04/2016,628
04/04/2016,629
05/04/2016,631
06/04/2016,632
07/04/2016,633
08/04/2016,634
09/04/2016,634
10/04/2016,634
11/04/2016,635
12/04/2016,638
13/04/2016,640
14/04/2016,642
15/04/2016,644
16/04/2016,645
17/04/2016,647
18/04/2016,652
19/04/2016,652
20/04/2016,652
21/04/2016,653
22/04/2016,654
23/04/2016,654
24/04/2016,655
25/04/2016,659
26/04/2016,660
27/04/2016,661
28/04/2016,661
29/04/2016,663
30/04/2016,663
01/05/2016,663
02/05/2016,664
03/05/2016,665
04/05/2016,665
05/05/2016,665
06/05/2016,667
07/05/2016,667
08/05/2016,667
09/05/2016,669
10/05/2016,670
11/05/2016,671
12/05/2016,672
13/05/2016,673
14/05/2016,673
15/05/2016,673
16/05/2016,674
17/05/2016,675
18/05/2016,676
19/05/2016,677
20/05/2016,678
21/05/2016,678
22/05/2016,678
23/05/2016,678
24/05/2016,678
25/05/2016,680
26/05/2016,680
27/05/2016,683
28/05/2016,683
29/05/2016,683
30/05/2016,683
31/05/2016,684
01/06/2016,687
02/06/2016,691
03/06/2016,691
04/06/2016,691
05/06/2016,691
06/06/2016,692
07/06/2016,692
08/06/2016,693
